player_name,clean_name,role,matches,goals,assists,avg_vote
nan,nan,nan,0,0.0,0.0,0.0
Carnesecchi,carnesecchi,P,37,0.0,0.0,6.36
Djimsiti,djimsiti,D,34,0.0,0.0,5.87
Bellanova,bellanova,D,24,0.0,1.0,5.83
Scalvini,scalvini,D,24,3.0,1.0,6.06
Kossounou,kossounou,D,19,1.0,0.0,5.95
Hien,hien,D,28,1.0,0.0,5.91
De Roon,de roon,C,34,1.0,2.0,5.97
Pasalic,pasalic,C,33,3.0,3.0,5.94
Maldini,maldini,C,21,2.0,1.0,5.95
Samardzic,samardzic,C,26,2.0,2.0,5.94
Zalewski,zalewski,C,33,2.0,5.0,6.09
Ederson D.S.,ederson ds,C,30,1.0,1.0,6.25
Scamacca,scamacca,A,24,8.0,1.0,6.17
Sulemana K.,sulemana k,A,25,2.0,1.0,6.0
De Ketelaere,de ketelaere,A,31,3.0,5.0,6.21
Krstovic,krstovic,A,33,10.0,5.0,6.15
Juric,juric,ALL,11,0.0,0.0,5.91
Skorupski,skorupski,P,19,0.0,0.0,6.18
De Silvestri,de silvestri,D,12,0.0,0.0,6.04
Lykogiannis,lykogiannis,D,10,0.0,1.0,5.7
Zortea,zortea,D,32,0.0,2.0,5.88
Casale,casale,D,12,0.0,0.0,5.71
Lucumì,lucumi,D,29,1.0,0.0,5.88
Vitik,vitik,D,19,0.0,0.0,5.95
Bernardeschi,bernardeschi,C,29,3.0,2.0,6.03
Freuler,freuler,C,29,1.0,2.0,6.02
Orsolini,orsolini,C,35,6.0,1.0,6.06
Odgaard,odgaard,C,26,5.0,1.0,5.92
Pobega,pobega,C,26,3.0,1.0,5.85
Fabbian,fabbian,C,29,2.0,0.0,5.84
Immobile,immobile,A,6,0.0,0.0,5.58
Cambiaghi,cambiaghi,A,28,3.0,4.0,5.98
Castro S.,castro s,A,35,7.0,1.0,5.93
Italiano,italiano,ALL,38,0.0,0.0,6.04
Caprile,caprile,P,38,0.0,0.0,6.29
Luperto,luperto,D,34,1.0,1.0,5.84
Mina,mina,D,26,2.0,1.0,6.0
Zappa,zappa,D,31,0.0,3.0,5.92
Obert,obert,D,35,0.0,3.0,5.89
Idrissi R.,idrissi r,D,23,2.0,0.0,5.87
Deiola,deiola,C,20,0.0,1.0,5.97
Mazzitelli,mazzitelli,C,18,2.0,2.0,6.06
Gaetano,gaetano,C,33,2.0,4.0,6.06
Adopo,adopo,C,38,1.0,1.0,5.83
Folorunsho,folorunsho,C,27,2.0,0.0,6.04
Prati,prati,C,33,1.0,0.0,5.88
Esposito Se.,esposito se,A,36,6.0,4.0,6.26
Luvumbo,luvumbo,A,12,0.0,0.0,5.83
Borrelli,borrelli,A,27,5.0,1.0,5.93
Kilicsoy,kilicsoy,A,22,4.0,0.0,6.02
Pisacane,pisacane,ALL,38,0.0,0.0,6.09
Butez,butez,P,38,0.0,1.0,6.07
Vojvoda,vojvoda,D,30,2.0,1.0,6.02
Valle,valle,D,28,1.0,3.0,6.05
Ramon,ramon,D,32,2.0,0.0,6.16
Kempf,kempf,D,34,4.0,1.0,6.1
Van Der Brempt,van der brempt,D,20,0.0,1.0,5.97
Smolcic I.,smolcic i,D,28,0.0,1.0,5.96
Sergi Roberto,sergi roberto,C,20,0.0,0.0,5.9
Caqueret,caqueret,C,30,2.0,4.0,6.1
Da Cunha,da cunha,C,36,2.0,4.0,6.33
Perrone,perrone,C,36,3.0,4.0,6.22
Paz N.,paz n,C,35,12.0,5.0,6.37
Morata,morata,A,26,0.0,0.0,5.67
Douvikas,douvikas,A,38,13.0,1.0,6.17
Kuhn,kuhn,A,23,1.0,1.0,5.98
Rodriguez Je.,rodriguez je,A,31,2.0,8.0,6.23
Fabregas,fabregas,ALL,38,0.0,0.0,6.47
Audero,audero,P,34,0.0,0.0,6.21
Bianchetti,bianchetti,D,27,0.0,1.0,5.72
Pezzella Giu.,pezzella giu,D,31,0.0,1.0,5.68
Ceccherini,ceccherini,D,9,0.0,1.0,5.61
Terracciano F.,terracciano f,D,36,2.0,0.0,5.86
Baschirotto,baschirotto,D,29,2.0,0.0,5.95
Grassi,grassi,C,30,0.0,0.0,5.8
Bondo,bondo,C,27,0.0,0.0,5.85
